playlist_genre,danceability,energy,valence,liveness,speechiness,acousticness,track_popularity,track_name,track_artist
rock,0.442,0.943,0.781,0.091,0.0602,0.00293,80,Basket Case,Green Day
rock,0.559,0.345,0.458,0.141,0.0459,0.0576,82,Under the Bridge,Red Hot Chili Peppers
rock,0.673,0.814,0.728,0.343,0.0367,0.0134,70,White Wedding - Pt. 1,Billy Idol
rock,0.532,0.767,0.755,0.39,0.0574,0.00287,81,You Shook Me All Night Long,AC/DC
rock,0.723,0.863,0.931,0.128,0.0338,0.0383,76,(I Can't Get No) Satisfaction - Mono Version,The Rolling Stones
rock,0.486,0.449,0.549,0.54,0.0267,0.166,76,Starman - 2012 Remaster,David Bowie
rock,0.412,0.902,0.422,0.405,0.405,0.0484,72,Whole Lotta Love - 1990 Remaster,Led Zeppelin
rock,0.55,0.722,0.716,0.11,0.0283,0.25,70,Riders on the Storm,The Doors
rock,0.394,0.944,0.265,0.298,0.0761,0.00178,77,Even Flow,Pearl Jam
rock,0.398,0.952,0.584,0.1,0.061,0.000373,72,Born in the U.S.A.,Bruce Springsteen
rock,0.356,0.917,0.518,0.406,0.0479,0.0335,79,Bitter Sweet Symphony - Remastered 2016,The Verve
rock,0.455,0.589,0.254,0.104,0.0328,0.00184,75,Don't Cry (Original),Guns N' Roses
rock,0.438,0.805,0.564,0.0842,0.0624,0.00255,72,All Along the Watchtower,Jimi Hendrix
rock,0.446,0.239,0.298,0.0697,0.0316,0.551,76,In The Air Tonight - 2015 Remastered,Phil Collins
rock,0.721,0.521,0.942,0.127,0.0613,0.0708,76,Psycho Killer - 2005 Remaster,Talking Heads
rock,0.619,0.67,0.777,0.331,0.0353,0.00165,71,Are You Gonna Go My Way,Lenny Kravitz
rock,0.539,0.828,0.562,0.154,0.035,0.00067,70,Master of Puppets (Remastered),Metallica
rock,0.73,0.487,0.731,0.0852,0.0303,0.258,79,Everywhere - 2017 Remaster,Fleetwood Mac
rock,0.741,0.697,0.774,0.133,0.0277,0.0664,84,Have You Ever Seen The Rain,Creedence Clearwater Revival
rock,0.62,0.579,0.691,0.0858,0.0473,0.0152,69,Just What I Needed,The Cars
rock,0.502,0.912,0.72,0.106,0.0564,2.55e-05,76,Smells Like Teen Spirit,Nirvana
rock,0.466,0.833,0.661,0.0327,0.304,0.0266,78,Killing In The Name,Rage Against The Machine
rock,0.53,0.376,0.188,0.0926,0.04,0.0304,75,Come Together - Remastered 2009,The Beatles
rock,0.482,0.786,0.793,0.446,0.032,0.00321,73,Carry on Wayward Son,Kansas
rock,0.674,0.789,0.918,0.0753,0.0676,0.00178,78,Song 2 - 2012 Remaster,Blur
rock,0.519,0.441,0.25,0.076,0.0353,0.0204,76,Where Is My Mind? - 2007 Remaster,Pixies
rock,0.743,0.836,0.82,0.384,0.116,0.0804,80,Should I Stay or Should I Go - Remastered,The Clash
rock,0.932,0.528,0.757,0.163,0.161,0.115,71,Another One Bites The Dust - Remastered 2011,Queen
rock,0.602,0.905,0.411,0.117,0.0775,0.000202,75,Uprising,Muse
rock,0.653,0.519,0.822,0.101,0.0497,0.406,76,For What It's Worth,Buffalo Springfield
rock,0.454,0.946,0.647,0.173,0.13,0.0223,68,You Really Got Me - 2015 Remaster,Van Halen
rock,0.35,0.828,0.147,0.0774,0.041,0.000217,76,Black Hole Sun,Soundgarden
rock,0.489,0.349,0.622,0.0866,0.0323,0.676,70,Black Magic Woman - Single Version,Santana
rock,0.587,0.872,0.735,0.622,0.0484,0.018,73,Fly Away,Lenny Kravitz
rock,0.577,0.808,0.869,0.221,0.039,0.0338,75,Message In A Bottle,The Police
rock,0.489,0.758,0.435,0.092,0.0297,0.000678,72,Heroes - 2017 Remaster,David Bowie
rock,0.564,0.932,0.619,0.349,0.0554,0.013,75,Immigrant Song - Remaster,Led Zeppelin
rock,0.388,0.338,0.478,0.248,0.0329,0.652,76,Mr. Blue Sky,Electric Light Orchestra
rock,0.31,0.7,0.763,0.0828,0.047,0.011,83,Back In Black,AC/DC
rock,0.548,0.691,0.667,0.144,0.0369,0.015,74,Barracuda,Heart
rock,0.601,0.532,0.342,0.0925,0.0286,0.433,79,"Rocket Man (I Think It's Going To Be A Long, Long Time)",Elton John
rock,0.256,0.641,0.382,0.0853,0.0552,0.199,79,Heart-Shaped Box,Nirvana
rock,0.667,0.755,0.883,0.0523,0.069,0.0966,68,Life in the Fast Lane - 2013 Remaster,Eagles
rock,0.671,0.373,0.732,0.0481,0.0323,0.257,83,Africa,TOTO
rock,0.333,0.927,0.385,0.297,0.0733,0.0029,75,(Don't Fear) The Reaper,Blue Öyster Cult
rock,0.767,0.787,0.964,0.0513,0.0331,0.0163,77,1979 - Remastered 2012,The Smashing Pumpkins
rock,0.472,0.366,0.171,0.0837,0.0286,0.15,71,Comfortably Numb,Pink Floyd
rock,0.437,0.864,0.749,0.242,0.0904,0.396,69,Black Dog - Remaster,Led Zeppelin
rock,0.509,0.584,0.685,0.384,0.057,0.0368,69,No One Knows,Queens of the Stone Age
rock,0.575,0.912,0.843,0.0562,0.0393,0.0916,69,Long Train Runnin',The Doobie Brothers
rock,0.654,0.611,0.786,0.405,0.119,0.0337,69,Loser,Beck
rock,0.529,0.482,0.492,0.0842,0.0599,0.7,74,American Pie,Don McLean
