playlist_genre,track_popularity
hip-hop,70
hip-hop,68
k-pop,73
k-pop,83
k-pop,72
k-pop,74
k-pop,72
k-pop,78
k-pop,78
k-pop,78
k-pop,75
k-pop,69
k-pop,78
pop,100
pop,98
pop,97
pop,93
pop,92
pop,71
pop,93
pop,93
pop,93
pop,93
pop,88
pop,92
pop,94
pop,82
pop,87
pop,72
pop,89
pop,93
pop,79
pop,87
pop,90
pop,88
pop,78
pop,90
pop,90
pop,89
pop,90
pop,89
pop,88
pop,88
pop,89
pop,90
pop,87
pop,89
pop,83
pop,89
pop,85
pop,84
pop,88
pop,87
pop,88
pop,84
pop,87
pop,85
pop,78
pop,88
pop,89
pop,82
pop,80
pop,86
pop,89
pop,77
pop,78
pop,83
pop,83
pop,71
pop,77
pop,89
pop,89
pop,87
pop,87
pop,87
pop,86
pop,86
pop,86
pop,86
pop,86
pop,86
pop,85
pop,85
pop,85
pop,85
pop,86
pop,84
pop,84
pop,84
pop,84
pop,83
pop,83
pop,83
pop,83
pop,84
pop,82
pop,82
pop,82
pop,81
pop,81
pop,81
pop,81
pop,82
pop,81
pop,80
pop,80
pop,79
pop,79
pop,82
pop,79
pop,79
pop,79
pop,78
pop,78
pop,80
pop,78
pop,78
pop,78
pop,78
pop,78
pop,78
pop,78
pop,77
pop,77
pop,78
pop,76
pop,76
pop,76
pop,76
pop,76
pop,75
pop,75
pop,75
pop,75
pop,74
pop,74
pop,74
pop,74
pop,74
pop,74
pop,74
pop,74
pop,73
pop,73
pop,73
pop,72
pop,72
pop,72
pop,72
pop,72
pop,72
pop,71
pop,71
pop,71
pop,70
pop,70
pop,70
pop,70
pop,69
pop,69
pop,69
pop,89
pop,87
pop,86
pop,86
pop,84
pop,84
pop,84
pop,84
pop,83
pop,83
pop,83
pop,83
pop,83
pop,83
pop,83
pop,82
pop,82
pop,82
pop,82
pop,82
pop,81
pop,81
pop,81
pop,81
pop,82
pop,81
pop,81
pop,80
pop,80
pop,80
pop,80
pop,80
pop,80
pop,80
pop,80
pop,80
pop,80
pop,80
pop,79
pop,79
pop,79
pop,79
pop,79
pop,79
pop,79
pop,79
pop,78
pop,78
pop,78
pop,78
pop,78
pop,78
pop,78
pop,78
pop,78
pop,78
pop,78
pop,78
pop,78
pop,78
pop,78
pop,78
pop,78
pop,77
pop,77
pop,77
pop,77
pop,77
pop,77
pop,77
pop,77
pop,77
pop,77
pop,76
pop,76
pop,76
pop,76
pop,76
pop,77
pop,76
pop,76
pop,76
pop,76
pop,76
pop,76
pop,76
pop,76
pop,76
pop,75
pop,75
pop,75
pop,75
pop,75
pop,75
pop,75
pop,75
pop,75
pop,75
pop,74
pop,75
pop,74
pop,74
pop,74
pop,74
pop,74
pop,74
pop,74
pop,74
pop,74
pop,74
pop,74
pop,74
pop,74
pop,73
pop,73
pop,73
pop,73
pop,73
pop,73
pop,73
pop,73
pop,73
pop,73
pop,73
pop,72
pop,73
pop,72
pop,72
pop,72
pop,72
pop,72
pop,72
pop,72
pop,72
pop,72
pop,72
pop,72
pop,71
pop,71
pop,71
pop,71
pop,71
pop,71
pop,71
pop,70
pop,70
pop,70
pop,70
pop,70
pop,70
pop,82
pop,80
pop,78
pop,78
pop,76
pop,80
pop,73
pop,71
pop,73
pop,71
pop,73
rock,88
rock,89
rock,79
rock,77
rock,84
rock,81
rock,87
rock,80
rock,81
rock,81
rock,71
rock,74
rock,75
rock,76
rock,81
rock,70
rock,74
rock,73
rock,71
rock,74
rock,82
rock,72
rock,74
rock,81
rock,73
rock,74
rock,68
rock,76
rock,77
rock,78
rock,77
rock,70
rock,75
rock,76
rock,77
rock,73
rock,74
rock,74
rock,68
rock,72
rock,71
rock,80
rock,68
rock,69
rock,73
rock,74
rock,79
rock,69
rock,69
rock,79
metal,69
metal,68
metal,71
metal,75
metal,71
metal,73
metal,83
metal,68
metal,72
metal,69
metal,71
metal,80
metal,79
metal,75
metal,77
metal,77
metal,70
metal,77
metal,68
punk,81
punk,70
punk,80
punk,69
punk,69
punk,72
punk,73
punk,69
punk,77
punk,73
punk,70
punk,75
punk,71
punk,78
punk,72
punk,81
punk,77
punk,83
punk,71
punk,75
punk,70
punk,79
punk,68
punk,74
punk,68
punk,74
punk,71
punk,75
punk,68
punk,77
punk,79
punk,73
punk,77
punk,84
punk,74
punk,71
punk,73
punk,76
punk,72
punk,68
punk,74
punk,70
punk,74
punk,76
punk,75
punk,69
punk,69
punk,71
punk,75
punk,68
rock,78
rock,75
rock,73
hip-hop,73
hip-hop,75
hip-hop,92
hip-hop,72
hip-hop,87
hip-hop,72
hip-hop,72
hip-hop,70
hip-hop,82
hip-hop,76
hip-hop,73
hip-hop,72
hip-hop,68
hip-hop,73
hip-hop,84
hip-hop,84
hip-hop,68
hip-hop,81
hip-hop,78
hip-hop,73
hip-hop,72
hip-hop,77
hip-hop,83
hip-hop,78
hip-hop,80
hip-hop,68
hip-hop,68
hip-hop,84
hip-hop,70
hip-hop,74
hip-hop,69
hip-hop,79
hip-hop,83
hip-hop,76
hip-hop,84
hip-hop,72
hip-hop,90
hip-hop,70
hip-hop,68
hip-hop,77
hip-hop,83
hip-hop,76
hip-hop,72
hip-hop,71
hip-hop,70
hip-hop,74
hip-hop,78
hip-hop,79
hip-hop,73
hip-hop,77
hip-hop,68
hip-hop,73
hip-hop,73
hip-hop,71
hip-hop,73
hip-hop,73
hip-hop,70
hip-hop,81
hip-hop,70
hip-hop,77
hip-hop,76
hip-hop,71
hip-hop,73
hip-hop,75
hip-hop,78
hip-hop,83
hip-hop,77
hip-hop,75
korean,74
korean,69
korean,71
korean,70
korean,69
korean,69
korean,69
korean,68
hip-hop,74
hip-hop,70
hip-hop,68
hip-hop,68
hip-hop,75
hip-hop,71
hip-hop,73
hip-hop,69
hip-hop,75
hip-hop,70
hip-hop,68
hip-hop,72
hip-hop,75
hip-hop,70
hip-hop,71
hip-hop,75
hip-hop,73
hip-hop,85
hip-hop,77
hip-hop,72
hip-hop,69
hip-hop,69
rock,74
rock,72
rock,72
rock,77
rock,70
rock,70
rock,77
rock,75
rock,68
rock,68
rock,68
rock,70
rock,72
rock,73
rock,68
rock,69
rock,78
rock,77
rock,68
rock,74
pop,69
rock,23
rock,53
rock,55
hip-hop,61
hip-hop,68
hip-hop,68
hip-hop,56
hip-hop,24
hip-hop,21
hip-hop,66
hip-hop,16
hip-hop,19
hip-hop,15
hip-hop,62
hip-hop,64
hip-hop,16
hip-hop,55
hip-hop,57
hip-hop,47
hip-hop,15
hip-hop,67
hip-hop,23
hip-hop,68
hip-hop,68
hip-hop,65
hip-hop,65
hip-hop,63
rock,13
rock,13
rock,26
rock,21
rock,42
rock,18
rock,22
rock,24
rock,28
rock,32
rock,28
rock,31
rock,22
rock,33
rock,30
rock,29
rock,58
rock,67
rock,68
rock,68
rock,67
rock,67
rock,66
rock,66
rock,66
rock,66
rock,65
rock,64
rock,64
rock,64
rock,63
rock,63
rock,65
rock,63
rock,62
rock,62
rock,60
rock,60
rock,60
rock,60
rock,60
rock,59
rock,60
rock,59
rock,60
rock,58
rock,58
rock,58
rock,57
rock,58
rock,57
rock,57
rock,57
rock,56
j-pop,58
j-pop,65
j-pop,53
j-pop,57
j-pop,59
j-pop,59
j-pop,49
j-pop,55
j-pop,55
j-pop,65
j-pop,67
j-pop,64
metal,64
metal,60
metal,68
metal,54
metal,65
metal,63
metal,64
metal,60
metal,64
metal,65
metal,57
metal,35
hip-hop,40
hip-hop,15
hip-hop,29
hip-hop,18
hip-hop,19
hip-hop,14
hip-hop,11
hip-hop,22
hip-hop,23
hip-hop,20
hip-hop,13
hip-hop,30
hip-hop,12
hip-hop,19
hip-hop,14
hip-hop,17
hip-hop,18
hip-hop,68
hip-hop,68
hip-hop,68
hip-hop,67
hip-hop,67
hip-hop,67
hip-hop,66
hip-hop,66
hip-hop,66
